,Period,Type,SubType,Generation
188,2023,Biomass,Solid,171338.484453
189,2023,Biomass,Subtotal,244180.950589
190,2023,Geothermal,Subtotal,23164.354
191,2023,Hydro,Subtotal,3963022.166
192,2023,Solar,Subtotal,12909735.9744
193,2023,Total,Subtotal,26995429.861389
194,2023,Waste,Subtotal,3617039.88741
195,2023,Wind,Offshore,4497273.096
196,2023,Wind,Onshore,1741013.43299
197,2023,Wind,Subtotal,6238286.52899
198,2024,Biomass,Biogas,63946.325732
199,2024,Biomass,Solid,173769.79639
200,2024,Biomass,Subtotal,237716.122122
201,2024,Geothermal,Subtotal,26740.734
202,2024,Hydro,Subtotal,4208168.16799
203,2024,Solar,Subtotal,15295931.42809
204,2024,Total,Subtotal,33916625.76412
205,2024,Waste,Subtotal,3638257.860928
206,2024,Wind,Offshore,8611442.60001
207,2024,Wind,Onshore,1898368.85098
208,2024,Wind,Subtotal,10509811.45099
209,2024/01,Biomass,Biogas,5711.67243
210,2024/01,Biomass,Solid,18268.875411
211,2024/01,Biomass,Subtotal,23980.547841
212,2024/01,Geothermal,Subtotal,2459.327
213,2024/01,Hydro,Subtotal,203526.515
214,2024/01,Solar,Subtotal,856577.70255
215,2024/01,Total,Subtotal,2053113.774805
216,2024/01,Waste,Subtotal,321239.374254
217,2024/01,Wind,Offshore,405353.90344
218,2024/01,Wind,Onshore,239976.40472
219,2024/01,Wind,Subtotal,645330.30816
220,2024/02,Biomass,Biogas,5687.616021
221,2024/02,Biomass,Solid,12054.170314
222,2024/02,Biomass,Subtotal,17741.786335
223,2024/02,Geothermal,Subtotal,2323.861
224,2024/02,Hydro,Subtotal,261610.12
225,2024/02,Solar,Subtotal,1001499.66665
226,2024/02,Total,Subtotal,2382283.341508
227,2024/02,Waste,Subtotal,297508.609923
228,2024/02,Wind,Offshore,608020.64223
229,2024/02,Wind,Onshore,193578.65537
230,2024/02,Wind,Subtotal,801599.2976
231,2024/03,Biomass,Biogas,5417.339096
232,2024/03,Biomass,Solid,17287.739203
233,2024/03,Biomass,Subtotal,22705.078299
234,2024/03,Geothermal,Subtotal,2368.614
235,2024/03,Hydro,Subtotal,254504.354
236,2024/03,Solar,Subtotal,1157666.16993
237,2024/03,Total,Subtotal,2555693.85601
238,2024/03,Waste,Subtotal,299704.666971
239,2024/03,Wind,Offshore,643551.3844
240,2024/03,Wind,Onshore,175193.58841
241,2024/03,Wind,Subtotal,818744.97281
242,2024/04,Biomass,Biogas,6285.854777
243,2024/04,Biomass,Solid,5360.111538
244,2024/04,Biomass,Subtotal,11645.966315
245,2024/04,Geothermal,Subtotal,2195.439
246,2024/04,Hydro,Subtotal,212635.672
247,2024/04,Solar,Subtotal,1199926.5597
248,2024/04,Total,Subtotal,2280870.0491
249,2024/04,Waste,Subtotal,259355.164805
250,2024/04,Wind,Offshore,513274.36551
251,2024/04,Wind,Onshore,81836.88177
252,2024/04,Wind,Subtotal,595111.24728
253,2024/05,Biomass,Biogas,5549.025138
254,2024/05,Biomass,Solid,9333.109281
255,2024/05,Biomass,Subtotal,14882.134419
256,2024/05,Geothermal,Subtotal,2257.367
257,2024/05,Hydro,Subtotal,247130.625
258,2024/05,Solar,Subtotal,1233956.20325
259,2024/05,Total,Subtotal,2678684.878465
260,2024/05,Waste,Subtotal,301564.445986
261,2024/05,Wind,Offshore,777073.8002
262,2024/05,Wind,Onshore,101820.30261
263,2024/05,Wind,Subtotal,878894.10281
264,2024/06,Biomass,Biogas,5714.96906
265,2024/06,Biomass,Solid,13404.627083
266,2024/06,Biomass,Subtotal,19119.596143
267,2024/06,Geothermal,Subtotal,1828.395
268,2024/06,Hydro,Subtotal,426426.613
269,2024/06,Solar,Subtotal,1563910.85777
270,2024/06,Total,Subtotal,2858591.131538
271,2024/06,Waste,Subtotal,298412.502745
272,2024/06,Wind,Offshore,451072.86935
273,2024/06,Wind,Onshore,97820.29753
274,2024/06,Wind,Subtotal,548893.16688
275,2024/07,Biomass,Biogas,5407.753276
276,2024/07,Biomass,Solid,15876.448705
277,2024/07,Biomass,Subtotal,21284.201981
278,2024/07,Geothermal,Subtotal,1938.981
279,2024/07,Hydro,Subtotal,469631.121
280,2024/07,Solar,Subtotal,1573570.35257
281,2024/07,Total,Subtotal,2827103.471932
282,2024/07,Waste,Subtotal,322119.776061
283,2024/07,Wind,Offshore,365891.67437
284,2024/07,Wind,Onshore,72667.36495
285,2024/07,Wind,Subtotal,438559.03932
286,2024/08,Biomass,Biogas,5288.281265
287,2024/08,Biomass,Solid,16019.974206
288,2024/08,Biomass,Subtotal,21308.255471
289,2024/08,Geothermal,Subtotal,2170.359
290,2024/08,Hydro,Subtotal,642453.932
291,2024/08,Solar,Subtotal,1674178.85154
292,2024/08,Total,Subtotal,2981977.12403
293,2024/08,Waste,Subtotal,315250.051039
294,2024/08,Wind,Offshore,280293.3653
295,2024/08,Wind,Onshore,46322.30968
296,2024/08,Wind,Subtotal,326615.67498
297,2024/09,Biomass,Biogas,4464.727627
298,2024/09,Biomass,Solid,15856.338611
299,2024/09,Biomass,Subtotal,20321.066238
300,2024/09,Geothermal,Subtotal,2221.7
301,2024/09,Hydro,Subtotal,365947.13721
302,2024/09,Solar,Subtotal,1532368.86285
303,2024/09,Total,Subtotal,3119220.873438
304,2024/09,Waste,Subtotal,310576.56294
305,2024/09,Wind,Offshore,827614.09026
306,2024/09,Wind,Onshore,60171.45394
307,2024/09,Wind,Subtotal,887785.5442
308,2024/10,Biomass,Biogas,4855.951526
309,2024/10,Biomass,Solid,17188.802804
310,2024/10,Biomass,Subtotal,22044.75433
311,2024/10,Geothermal,Subtotal,2272.901
312,2024/10,Hydro,Subtotal,469649.07521
313,2024/10,Solar,Subtotal,1342931.02425
314,2024/10,Total,Subtotal,3353948.173515
315,2024/10,Waste,Subtotal,290941.786525
316,2024/10,Wind,Offshore,1001104.91392
317,2024/10,Wind,Onshore,225003.71828
318,2024/10,Wind,Subtotal,1226108.6322
319,2024/11,Biomass,Biogas,4864.110397
320,2024/11,Biomass,Solid,16075.475846
321,2024/11,Biomass,Subtotal,20939.586243
322,2024/11,Geothermal,Subtotal,2106.982
323,2024/11,Hydro,Subtotal,441499.40657
324,2024/11,Solar,Subtotal,1090316.1908
325,2024/11,Total,Subtotal,3269103.672203
326,2024/11,Waste,Subtotal,276800.47535
327,2024/11,Wind,Offshore,1163467.32053
328,2024/11,Wind,Onshore,273973.71071
329,2024/11,Wind,Subtotal,1437441.03124
330,2024/12,Biomass,Biogas,4699.025119
331,2024/12,Biomass,Solid,17044.123388
332,2024/12,Biomass,Subtotal,21743.148507
333,2024/12,Geothermal,Subtotal,2596.808
334,2024/12,Hydro,Subtotal,213153.597
335,2024/12,Solar,Subtotal,1069028.98623
336,2024/12,Total,Subtotal,3556035.417576
337,2024/12,Waste,Subtotal,344784.444329
338,2024/12,Wind,Offshore,1574724.2705
339,2024/12,Wind,Onshore,330004.16301
340,2024/12,Wind,Subtotal,1904728.43351
341,2025/01,Biomass,Biogas,4015.673561
342,2025/01,Biomass,Solid,14391.803295
343,2025/01,Biomass,Subtotal,18407.476856
344,2025/01,Geothermal,Subtotal,2692.654
345,2025/01,Hydro,Subtotal,196148.982
346,2025/01,Solar,Subtotal,772143.69637
347,2025/01,Total,Subtotal,3055060.492016
348,2025/01,Waste,Subtotal,367702.33569
349,2025/01,Wind,Offshore,1402540.7471
350,2025/01,Wind,Onshore,295424.6
351,2025/01,Wind,Subtotal,1697965.3471
352,2025/02,Biomass,Biogas,3813.290629
353,2025/02,Biomass,Solid,18149.068253
354,2025/02,Biomass,Subtotal,21962.358882
355,2025/02,Geothermal,Subtotal,2260.769
356,2025/02,Hydro,Subtotal,312050.33
357,2025/02,Solar,Subtotal,933808.22274
358,2025/02,Total,Subtotal,3081748.478467
359,2025/02,Waste,Subtotal,314633.917245
360,2025/02,Wind,Offshore,1248148.0306
361,2025/02,Wind,Onshore,248884.85
362,2025/02,Wind,Subtotal,1497032.8806
363,2025/03,Biomass,Biogas,4269.120969
364,2025/03,Biomass,Solid,19508.038966
365,2025/03,Biomass,Subtotal,23777.159935
366,2025/03,Geothermal,Subtotal,2512.292
367,2025/03,Hydro,Subtotal,389378.2
368,2025/03,Solar,Subtotal,1170177.3887
369,2025/03,Total,Subtotal,3163774.692586
370,2025/03,Waste,Subtotal,316823.652851
371,2025/03,Wind,Offshore,1057061.2861
372,2025/03,Wind,Onshore,204044.713
373,2025/03,Wind,Subtotal,1261105.9991
374,2025/04,Biomass,Biogas,4058.71292
375,2025/04,Biomass,Solid,16358.587387
376,2025/04,Biomass,Subtotal,20417.300307
377,2025/04,Geothermal,Subtotal,2372.472
378,2025/04,Hydro,Subtotal,454415.151
379,2025/04,Solar,Subtotal,1233411.96367
380,2025/04,Total,Subtotal,2714736.225526
381,2025/04,Waste,Subtotal,287509.651749
382,2025/04,Wind,Offshore,623528.9318
383,2025/04,Wind,Onshore,93080.755
384,2025/04,Wind,Subtotal,716609.6868
